,result.Letters
BUDN017,a
BUDN027,ab
BUDN025,abc
BSKN079,abcd
BKLS021,abcde
BNKI003,abcde
BUDN028,abcde
BKLS018,abcdef
BMKM005,abcdefg
BNKI007,abcdefg
BKLS020,abcdefg
BNBP003,abcdefg
BSKN116,abcdefg
BUDN022,bcdefgh
BMKM021,bcdefghi
BMKM023,cdefghi
BMKM025,cdefghi
BMKM008,cdefghi
BMDH010,defghi
BMKM014,defghi
BNKI019,defghi
BMKM003,efghi
BNPM023,efghi
BNKI017,fghi
BSKN077,ghi
BMKM020,ghi
BKLS015,hi
BKLS003,i
BSKN074,j
BKLS011,j
BSKN061,k
BNKI023,kl
BKLS024,kl
BMKM027,kl
BNBP004,kl
BUDN023,kl
BUDN036,kl
BUDN041,kl
BLEI007,l
BBKN006,l
BLEI004,m